filename,diagram_id,to_move,set
image-3453.jpg,419,W,2
image-3468.jpg,422,W,4
image-3482.jpg,423,W,2
image-3501.jpg,426,W,1
image-3514.jpg,427,B,4
image-3519.jpg,428,W,4
image-3534.jpg,430,B,1
image-3544.jpg,431,B,1
image-3559.jpg,433,B,3
image-3561.jpg,434,W,3
